City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,el granada,37.5027,-122.4694,53.91,59,20,9.22,US,1732815177
1,puerto natales,-51.7236,-72.4875,59.45,47,40,20.71,CL,1732815178
2,kruisfontein,-34.0033,24.7314,58.5,75,15,6.85,ZA,1732815179
3,uturoa,-16.7333,-151.4333,80.67,74,100,11.05,PF,1732815134
4,colonia,50.9333,6.95,45.25,82,75,8.05,DE,1732815181
5,olonkinbyen,70.9221,-8.7187,12.76,73,100,36.93,SJ,1732815115
6,sandpoint,48.2766,-116.5533,33.71,91,100,1.01,US,1732814997
7,arkalyk,50.2486,66.9114,18.16,91,8,3.58,KZ,1732815184
8,namtsy,62.7161,129.6658,-1.05,98,100,3.29,RU,1732815185
9,invercargill,-46.4,168.35,50.02,73,8,8.99,NZ,1732815110
10,longyearbyen,78.2186,15.6401,8.44,66,20,21.85,SJ,1732815188
11,vorgashor,67.5833,63.95,1.29,100,89,5.21,RU,1732815189
12,berezovyy,51.6667,135.7,0.19,98,75,4.21,RU,1732815190
13,grytviken,-54.2811,-36.5092,36.27,74,72,14.36,GS,1732815109
14,nar'yan-mar,67.6713,53.087,20.12,93,100,6.49,RU,1732815192
15,kerikeri,-35.2268,173.9474,51.91,91,4,3.51,NZ,1732815193
16,yellowknife,62.456,-114.3525,-14.28,76,100,5.75,CA,1732815194
17,edinburgh of the seven seas,-37.0676,-12.3116,60.58,89,98,22.32,SH,1732815119
18,thompson,55.7435,-97.8558,8.76,85,75,2.3,CA,1732815122
19,coahuayana de hidalgo,18.7,-103.6583,86.61,60,6,5.48,MX,1732815198
20,lodja,-3.4833,23.4333,69.31,98,20,0.83,CD,1732815199
21,taounate,34.5,-4.8333,72.61,35,9,0.78,MA,1732815200
22,ushuaia,-54.8,-68.3,53.26,54,0,20.71,AR,1732814942
23,touros,-5.1989,-35.4608,83.19,59,57,15.32,BR,1732815051
24,puerto ayora,-0.7393,-90.3518,72.55,90,86,7.0,EC,1732815205
25,elk city,35.412,-99.4043,43.02,56,0,5.75,US,1732815206
26,lihue,21.9789,-159.3672,72.99,68,40,14.97,US,1732815207
27,ancud,-41.8697,-73.8203,55.83,66,63,11.12,CL,1732815126
28,dalandzadgad,43.5708,104.425,29.35,54,3,3.2,MN,1732815209
29,aktau,43.65,51.2,45.18,81,100,8.93,KZ,1732815210
30,bethel,41.3712,-73.414,46.72,93,100,1.01,US,1732815211
31,isafjordur,66.0755,-23.124,17.64,57,40,11.5,IS,1732815212
32,fort st. john,56.2499,-120.8529,-0.51,78,100,9.22,CA,1732815214
33,st. john's,47.5649,-52.7093,40.96,89,75,6.91,CA,1732815116
34,oyama,36.3,139.8,49.8,39,0,4.76,JP,1732815216
35,hawaiian paradise park,19.5933,-154.9731,69.89,95,75,5.75,US,1732815114
36,hamilton,39.1834,-84.5333,42.75,82,100,8.05,US,1732815218
37,lata,40.1629,-8.3327,55.49,71,92,8.08,PT,1732815219
38,tadine,-21.55,167.8833,71.87,82,99,11.12,NC,1732815145
39,west island,-12.1568,96.8225,82.38,89,40,9.22,CC,1732815221
40,bikenibeu village,1.3673,173.1241,82.36,83,75,4.61,KI,1732815152
41,adamstown,-25.066,-130.1015,72.27,76,99,13.53,PN,1732815224
42,jizzax,40.1158,67.8422,59.68,57,100,8.05,UZ,1732815225
43,eyl,7.9803,49.8164,79.2,74,98,13.27,SO,1732815226
44,ilulissat,69.2167,-51.1,19.42,63,75,18.41,GL,1732815227
45,port-aux-francais,-49.35,70.2167,38.41,75,12,34.83,TF,1732815228
46,mili,6.0815,171.735,82.13,81,98,17.6,MH,1732815229
47,rawson,-43.3002,-65.1023,68.29,30,40,9.22,AR,1732815070
48,port mathurin,-19.6833,63.4167,76.23,77,30,21.32,MU,1732815232
49,margaret river,-33.95,115.0667,63.36,43,19,13.0,AU,1732815233
50,arar,30.9753,41.0381,53.62,37,0,4.61,SA,1732815234
51,keflavik,64.0049,-22.5624,21.63,68,20,21.85,IS,1732815235
52,shiyan,32.6475,110.7781,41.16,49,0,6.08,CN,1732815236
53,vadso,70.0744,29.7487,26.76,68,20,12.66,NO,1732815137
54,albany,42.6001,-73.9662,33.26,80,100,4.76,US,1732815239
55,anadyr,64.75,177.4833,30.7,86,75,4.47,RU,1732815240
56,namibe,-15.1961,12.1522,74.01,78,90,8.84,AO,1732815241
57,manaure,11.7751,-72.4445,86.61,67,53,6.6,CO,1732815242
58,tolanaro,-25.0319,46.9987,80.67,78,40,4.61,MG,1732815243
59,amarpatan,24.3167,80.9833,58.51,43,38,1.74,IN,1732815244
60,jamestown,42.097,-79.2353,38.01,97,100,9.22,US,1732815246
61,crane,31.3974,-102.3501,50.85,45,100,10.22,US,1732815247
62,castillos,-34.1667,-53.8333,74.26,42,100,10.8,UY,1732815248
63,alotau,-10.3069,150.4462,77.9,93,100,1.16,PG,1732815163
64,san antonio de pale,-1.4014,5.6325,79.95,79,88,6.51,GQ,1732815250
65,tiksi,71.6872,128.8694,7.41,77,100,12.01,RU,1732815251
66,chake chake,-5.2459,39.7666,79.9,83,58,8.57,TZ,1732815252
67,brookings,44.3114,-96.7984,18.45,84,100,17.27,US,1732815212
68,azangaro,-14.9167,-70.2167,64.96,30,100,0.67,PE,1732815254
69,bilibino,68.0546,166.4372,-6.45,99,79,3.69,RU,1732815256
70,palmer,42.1584,-72.3287,42.31,79,100,8.05,US,1732815257
71,maputo,-25.9653,32.5892,74.88,60,20,21.85,MZ,1732815242
72,wembley,-31.9333,115.8,75.02,31,0,14.97,AU,1732815259
73,el calafate,-50.3408,-72.2768,59.16,44,86,14.07,AR,1732815260
74,marsh harbour,26.5412,-77.0636,77.94,72,13,5.64,BS,1732815261
75,mejit,10.2753,170.8646,82.56,72,78,20.78,MH,1732815262
76,chom thong,18.4174,98.6743,69.64,88,29,1.79,TH,1732815263
77,kill devil hills,36.0307,-75.676,68.99,77,100,14.97,US,1732815264
78,college,64.8569,-147.8028,-28.93,68,0,4.61,US,1732815265
79,nemuro,43.3236,145.575,42.37,76,24,9.33,JP,1732815086
80,tantou,26.0314,119.5986,55.17,41,0,8.95,CN,1732815268
81,gaiman,-43.2897,-65.4929,68.2,25,92,12.21,AR,1732815270
82,papatowai,-46.5619,169.4708,47.55,68,28,12.48,NZ,1732815271
83,kingston,17.997,-76.7936,77.16,94,75,23.02,JM,1732815004
84,port elizabeth,-33.918,25.5701,65.32,75,75,12.66,ZA,1732815116
85,hithadhoo,-0.6,73.0833,82.22,81,80,20.18,MV,1732815275
86,i-n-salah,27.1935,2.4607,66.92,18,0,10.56,DZ,1732815157
87,navia,43.5354,-6.7194,57.79,77,19,4.79,ES,1732815277
88,tannum sands,-23.9504,151.3693,75.09,94,75,5.75,AU,1732815278
89,broken hill,-31.95,141.4333,68.23,53,30,14.65,AU,1732815279
90,kokopo,-4.352,152.2633,77.18,82,34,3.94,PG,1732815280
91,nizhneangarsk,55.7833,109.55,22.57,94,100,3.47,RU,1732815282
92,punta arenas,-53.15,-70.9167,57.31,47,40,23.02,CL,1732815284
93,hasaki,35.7333,140.8333,56.32,46,0,20.36,JP,1732815285
94,khandyga,62.6667,135.6,2.7,97,100,1.95,RU,1732815286
95,lamar,33.6668,-95.5836,42.89,69,0,13.8,US,1732815287
96,kayangel,8.0823,134.7173,77.11,95,100,4.76,PW,1732815288
97,caleta de carquin,-11.0925,-77.6267,71.73,75,82,9.78,PE,1732815289
98,ribeira grande,38.5167,-28.7,66.6,77,40,18.41,PT,1732815290
99,acarau,-2.8856,-40.12,85.17,58,57,19.98,BR,1732815291
100,lamu,-2.2717,40.902,81.25,84,45,10.36,KE,1732815292
101,debre werk',10.6667,38.1667,57.96,68,29,7.9,ET,1732815294
102,karaj,35.8355,51.0103,35.38,41,0,6.91,IR,1732815295
103,port moresby,-9.4431,147.1797,80.02,94,40,5.75,PG,1732815296
104,praia da vitoria,38.7333,-27.0667,70.05,64,40,10.2,PT,1732815297
105,tralee,52.2704,-9.7026,59.25,94,75,6.91,IE,1732815298
106,miandrivazo,-19.5167,45.4667,84.49,71,68,5.28,MG,1732815299
107,newman,37.3138,-121.0208,49.05,70,1,3.0,US,1732815300
108,paita,-5.0892,-81.1144,74.08,68,77,13.56,PE,1732815166
109,brigantine,39.4101,-74.3646,55.6,98,100,11.5,US,1732815303
110,nepanagar,21.4667,76.4,62.67,44,100,4.92,IN,1732815304
111,san pedro pochutla,15.7333,-96.4667,88.72,42,0,3.74,MX,1732815305
112,fort bragg,35.139,-79.006,69.64,81,75,20.71,US,1732815306
113,luganville,-15.5333,167.1667,79.21,84,99,7.09,VU,1732815307
114,ulanhot,46.0833,122.0833,15.33,71,80,12.24,CN,1732815308
115,wailua homesteads,22.0669,-159.378,72.39,68,40,14.97,US,1732815121
116,sitangkai,4.6628,119.3928,82.65,79,92,8.61,PH,1732815311
117,waitangi,-43.9535,-176.5597,55.81,93,82,4.0,NZ,1732815236
118,aykhal,66.0,111.5,-4.65,97,100,17.69,RU,1732815313
119,beira,-19.8436,34.8389,73.49,68,100,8.05,MZ,1732815314
120,zahedan,29.4963,60.8629,66.11,42,40,18.41,IR,1732815315
121,rongelap,11.1635,166.8941,82.78,76,92,20.6,MH,1732815317
122,blackmans bay,-43.0167,147.3167,53.73,93,98,3.44,AU,1732815318
123,quellon,-43.1167,-73.6167,52.23,86,100,3.6,CL,1732815319
124,amga,60.8953,131.9608,-1.41,99,100,0.6,RU,1732815320
125,preobrazheniye,42.9019,133.9064,23.49,61,45,7.85,RU,1732815321
126,iqaluit,63.7506,-68.5145,17.33,85,100,5.75,CA,1732815114
127,qiziltepa,40.0331,64.85,54.55,42,100,12.5,UZ,1732815323
128,tashtyp,52.7939,89.8983,16.2,92,19,1.57,RU,1732815324
129,canitas de felipe pescador,23.6,-102.7167,77.74,13,2,3.76,MX,1732815325
130,simcoe,42.8334,-80.2997,40.12,87,93,12.17,CA,1732815326
131,codrington,-38.2667,141.9667,56.48,94,83,7.78,AU,1732815116
132,stanley,54.868,-1.6985,32.52,93,89,11.32,GB,1732815329
133,qaisumah,28.3112,46.1273,53.56,47,0,4.61,SA,1732815330
134,whitehorse,60.7161,-135.0538,3.97,85,100,6.91,CA,1732815117
135,andapa,-14.65,49.65,69.13,96,78,1.07,MG,1732815332
136,iskateley,67.6803,53.1512,20.03,93,100,6.49,RU,1732815153
137,kuybyshev,55.4475,78.3218,10.45,87,6,5.55,RU,1732815334
138,badger,64.8,-147.5333,-23.55,78,0,4.61,US,1732815335
139,mount gambier,-37.8333,140.7667,54.54,98,73,6.89,AU,1732815336
140,kapuskasing,49.4169,-82.4331,24.89,86,100,16.11,CA,1732815062
141,port loko,8.7667,-12.7833,84.51,39,4,2.66,SL,1732815339
142,djambala,-2.5447,14.7533,66.38,95,72,1.7,CG,1732815340
143,charters towers,-20.1,146.2667,73.0,88,57,7.96,AU,1732815341
144,laguna,38.421,-121.4238,47.23,82,0,5.75,US,1732815167
145,aasiaat,68.7098,-52.8699,11.5,66,100,16.73,GL,1732815343
146,afaahiti,-17.75,-149.2833,77.9,75,95,7.18,PF,1732815344
147,levin,-40.6333,175.275,58.68,92,98,5.35,NZ,1732815345
148,melekeok village,7.4957,134.6367,77.56,94,75,5.75,PW,1732815346
149,tindouf,27.6711,-8.1474,77.45,18,0,13.8,DZ,1732815348
150,lazaro cardenas,17.9583,-102.2,84.09,64,14,5.55,MX,1732815349
151,korla,41.7597,86.1469,28.94,68,5,5.55,CN,1732815350
152,kerben,40.2951,72.1863,44.2,38,93,0.49,KG,1732815351
153,alice springs,-23.7,133.8833,74.75,53,100,8.05,AU,1732815353
154,arraial do cabo,-22.9661,-42.0278,93.16,62,0,16.11,BR,1732815354
155,weno,7.4515,151.8468,82.35,83,100,3.44,FM,1732815355
156,gonabad,34.3529,58.6837,55.65,36,12,2.77,IR,1732815357
157,las heras,-46.5419,-68.9359,52.05,72,100,10.58,AR,1732815358
158,luderitz,-26.6481,15.1594,60.55,78,0,29.44,NA,1732815359
159,itaituba,-4.2761,-55.9836,93.36,55,20,6.91,BR,1732815360
160,constantia,44.1833,28.65,39.88,76,92,9.71,RO,1732815361
161,tazacorte,28.629,-17.9293,76.17,53,0,17.27,ES,1732815362
162,kodiak,57.79,-152.4072,27.91,64,0,14.97,US,1732815195
163,yatou,37.15,122.3833,30.65,64,43,10.94,CN,1732815364
164,kikwit,-5.041,18.8162,69.12,94,50,2.21,CD,1732815366
165,nouadhibou,20.931,-17.0347,89.58,19,20,3.44,MR,1732815367
166,bredasdorp,-34.5322,20.0403,62.94,63,5,9.71,ZA,1732815368
167,hovd,48.0056,91.6419,12.85,63,0,2.37,MN,1732815369
168,porto novo,6.4965,2.6036,85.82,62,5,7.29,BJ,1732815370
169,zhangye,38.9342,100.4517,19.92,70,31,2.68,CN,1732815371
170,nikel,69.4128,30.222,13.05,87,41,9.37,RU,1732815372
171,kyabe,9.4515,18.9449,79.34,27,3,4.21,TD,1732815373
172,vila velha,-20.3297,-40.2925,91.35,69,0,17.27,BR,1732815129
173,vila franca do campo,37.7167,-25.4333,66.61,99,18,12.3,PT,1732815375
174,fort-de-france,14.6089,-61.0733,81.82,75,63,14.0,MQ,1732815377
175,cabo san lucas,22.8909,-109.9124,83.52,37,0,5.99,MX,1732815130
176,prado,-17.3411,-39.2208,81.09,75,67,13.67,BR,1732815380
177,lorengau,-2.0226,147.2712,82.17,77,57,10.69,PG,1732815381
178,hirara,24.8,125.2833,64.26,63,20,13.8,JP,1732815167
179,dolores,-36.3132,-57.6792,78.67,30,0,15.43,AR,1732815085
180,tres arroyos,-38.3739,-60.2798,67.1,79,95,5.46,AR,1732815384
181,missoula,47.0166,-113.8009,27.0,86,79,3.58,US,1732815386
182,al jawf,29.5,38.75,53.62,33,0,6.91,SA,1732815387
183,fontanelas,38.8472,-9.4372,67.62,71,0,12.66,PT,1732815388
184,tabou,4.423,-7.3528,79.61,77,9,4.76,CI,1732815389
185,queenstown,-31.8976,26.8753,52.7,63,4,8.16,ZA,1732815390
186,crixas,-14.5489,-49.9692,82.11,71,77,0.94,BR,1732815391
187,tazovsky,67.4667,78.7,20.43,90,30,17.98,RU,1732815114
188,fortuna,40.5982,-124.1573,38.32,100,0,8.05,US,1732815145
189,la ferte-sous-jouarre,48.9514,3.1272,40.73,90,38,5.93,FR,1732815394
190,zhezqazghan,47.7833,67.7667,31.86,71,98,6.67,KZ,1732815396
191,talnakh,69.4865,88.3972,-6.63,95,100,11.25,RU,1732815397
192,pudozh,61.8099,36.5345,29.89,98,100,2.64,RU,1732815394
193,tangalle,6.024,80.7911,79.79,67,100,12.48,LK,1732815399
194,xuanzhou,30.9525,118.7553,41.58,47,0,9.01,CN,1732815400
195,fort mcmurray,56.7268,-111.381,-8.01,77,75,9.22,CA,1732815401
196,isla vista,34.4133,-119.861,66.36,82,0,3.44,US,1732815402
197,skiathos,39.1623,23.4909,52.97,70,40,7.05,GR,1732815403
198,avarua,-21.2078,-159.775,73.45,100,100,6.91,CK,1732815405
199,kiunga,-6.1219,141.2906,72.91,99,100,0.81,PG,1732815406
200,atafu village,-8.5421,-172.5159,82.96,69,100,11.83,TK,1732815407
201,huron,41.1501,-82.5499,36.91,89,98,12.48,US,1732815342
202,callao,-12.0667,-77.15,70.09,73,75,8.05,PE,1732815161
203,oppdal,62.5943,9.6912,18.86,79,25,8.48,NO,1732815410
204,poshekhon'ye,58.4993,39.1353,28.06,97,100,3.22,RU,1732815411
205,pacific grove,36.6177,-121.9166,54.64,76,33,13.0,US,1732815413
206,dudinka,69.4058,86.1778,1.76,97,98,9.08,RU,1732815119
207,udachny,66.4167,112.4,-1.53,94,100,24.4,RU,1732815415
208,dickinson,29.4608,-95.0513,63.03,70,100,19.57,US,1732815416
209,mooirivier,-29.2082,29.9946,48.31,85,25,5.21,ZA,1732815417
210,bowen,-20.0167,148.2333,77.9,86,51,10.89,AU,1732815418
211,motygino,58.1831,94.7592,21.0,99,100,2.64,RU,1732815419
212,polyarnyy,69.1989,33.4478,18.23,79,36,15.3,RU,1732815421
213,mana,5.6592,-53.7767,83.57,72,34,11.77,GF,1732815146
214,kayyerkan,69.3786,87.7439,-10.84,100,99,9.95,RU,1732815423
215,saurimo,-9.6608,20.3916,65.84,96,54,2.01,AO,1732815424
216,dunedin,-45.8742,170.5036,47.8,75,7,3.0,NZ,1732815425
217,allapalli,19.4167,80.0667,60.48,56,80,3.42,IN,1732815426
218,xining,36.6167,101.7667,17.78,82,74,5.01,CN,1732815427
219,soufriere,13.8562,-61.0566,78.4,98,40,11.5,LC,1732815428
220,maymana,35.9214,64.7836,55.42,86,99,4.5,AF,1732815430
221,yiyang,28.5892,112.3283,48.74,44,38,2.1,CN,1732815431
222,rakvere,59.3464,26.3558,40.37,86,100,6.76,EE,1732815432
223,bitam,2.076,11.5007,71.83,81,76,2.3,GA,1732815433
224,gornozavodsk,58.3758,58.3211,14.85,96,49,1.77,RU,1732815434
225,barra de santo antonio,-9.4047,-35.5072,81.16,65,74,11.99,BR,1732815436
226,petropavlovsk-kamchatsky,53.0452,158.6483,28.99,64,75,6.71,RU,1732815437
227,hermanus,-34.4187,19.2345,65.8,60,12,9.51,ZA,1732815438
228,sao vicente,-23.9631,-46.3919,84.16,31,40,5.99,BR,1732815439
229,hualien city,23.9769,121.6044,64.33,94,100,6.26,TW,1732815440
230,salahonda,2.1019,-78.7217,76.62,85,95,17.11,CO,1732815441
231,enewetak,11.3474,162.3373,82.62,79,79,19.98,MH,1732815442
232,severo-yeniseyskiy,60.3725,93.0408,15.55,94,99,2.93,RU,1732815443
233,nagqu,31.5,92.0,13.23,16,3,5.7,CN,1732815444
234,birobidzhan,48.8,132.95,7.09,97,100,4.12,RU,1732815446
235,rio preto da eva,-2.6994,-59.6997,102.87,20,24,6.4,BR,1732815447
236,zaozersk,69.4005,32.4476,17.92,80,85,12.46,RU,1732815448
237,pointe-noire,-4.7761,11.8635,78.62,80,100,5.21,CG,1732815449
238,beccles,52.4535,1.564,39.87,92,8,1.52,GB,1732815450
239,oswestry,52.862,-3.055,38.46,88,95,1.01,GB,1732815451
240,camoapa,12.3839,-85.5116,76.33,70,67,9.04,NI,1732815452
241,susuman,62.7833,148.1667,-13.31,85,19,3.65,RU,1732815426
242,kolwezi,-10.7148,25.4667,63.09,89,92,1.99,CD,1732815454
243,gaoping,30.7758,106.1029,50.5,50,0,1.25,CN,1732815456
244,happy valley-goose bay,53.3168,-60.3315,32.31,86,75,4.61,CA,1732815457
245,kachug,53.9606,105.8817,22.89,93,96,3.98,RU,1732815458
246,olyokminsk,60.3736,120.4264,-1.28,98,94,4.52,RU,1732815459
247,nikolayevsk-on-amure,53.1406,140.73,25.63,98,100,3.91,RU,1732815460
248,east london,-33.0153,27.9116,65.34,59,0,17.27,ZA,1732815461
249,kavaratti,10.5669,72.642,83.39,63,93,10.63,IN,1732815462
250,lompoc,34.6391,-120.4579,60.13,93,0,8.05,US,1732815463
251,den helder,52.9599,4.7593,44.96,87,100,2.3,NL,1732815464
252,persembe,41.0656,37.7714,47.62,81,72,3.94,TR,1732815466
253,griffith,41.5284,-87.4237,33.84,65,100,12.66,US,1732815467
254,ola,59.5833,151.2833,1.81,72,6,6.46,RU,1732815468
255,istgah-e rah ahan-e garmsar,35.2346,52.3094,50.36,27,0,7.81,IR,1732815469
256,heroica caborca,30.7167,-112.15,72.09,34,99,2.53,MX,1732815470
257,fairbanks,64.8378,-147.7164,-28.91,68,0,4.61,US,1732815393
258,leeton,-34.5667,146.4,70.09,48,60,6.08,AU,1732815472
259,san ignacio,17.1561,-89.0714,86.14,58,0,9.22,BZ,1732815473
260,raja,8.4596,25.678,75.0,26,1,4.56,SS,1732815476
261,mathba,22.2855,89.9629,72.55,57,96,3.67,BD,1732815477
262,kinel'-cherkassy,53.4706,51.4743,30.34,59,100,0.45,RU,1732815478
263,neiafu,-18.65,-173.9833,72.28,100,40,0.0,TO,1732815479
264,haiku-pauwela,20.9219,-156.3051,72.25,75,40,5.99,US,1732815480
265,pierre,44.3683,-100.351,18.52,67,0,12.66,US,1732815399
266,prince rupert,54.3161,-130.3201,44.29,88,100,18.41,CA,1732815482
267,cidreira,-30.1811,-50.2056,72.19,80,100,9.35,BR,1732815485
268,yankton,42.8711,-97.3973,25.12,68,100,16.11,US,1732815486
269,mahibadhoo,3.7833,72.9667,82.45,75,92,14.03,MV,1732815487
270,vilyuchinsk,52.9306,158.4028,30.47,96,96,2.8,RU,1732815488
271,ulety,51.3572,112.4849,28.45,85,88,8.84,RU,1732815489
272,mukalla,14.5425,49.1242,77.45,70,6,2.13,YE,1732815490
273,chifeng,42.2683,118.9636,28.04,48,97,7.96,CN,1732815491
274,guerrero negro,27.9769,-114.0611,67.93,69,100,3.33,MX,1732815493
275,cuenca,-2.8833,-78.9833,66.38,71,95,6.93,EC,1732815494
276,buri ram,14.9943,103.1039,66.07,72,57,16.91,TH,1732815495
277,cobourg,50.2667,10.9667,42.75,95,100,1.99,DE,1732815496
278,vordingborg,55.008,11.9106,42.98,86,77,17.6,DK,1732815497
279,calatayud,41.3535,-1.6432,53.24,55,0,2.42,ES,1732815498
280,worb,46.9298,7.5631,43.72,87,100,3.44,CH,1732815499
281,bogorodsk,56.1033,43.5158,27.75,98,100,1.92,RU,1732815221
282,las tablas,7.7667,-80.2833,84.18,99,79,4.05,PA,1732815501
283,ivdel',60.6911,60.4206,17.28,96,50,2.71,RU,1732815503
284,mancio lima,-7.6142,-72.8958,87.87,66,75,5.75,BR,1732815504
285,taranagar,28.6709,75.0351,65.05,22,0,7.49,IN,1732815505
286,papao,-17.75,-149.55,82.08,71,100,3.42,PF,1732815506
287,posto fiscal rolim de moura,-13.0833,-62.2667,95.81,39,78,5.79,BR,1732815507
288,qaqortoq,60.7167,-46.0333,12.83,73,38,6.17,GL,1732815508
